sample,best available identification,reads/400,,,,
B1260,Anaerococcus,4,,,,
B1260,Aquabacterium,1,,,,
B1260,Aquabacterium,4,,,,
B1260,Bacillaceae,1,,,,
B1260,Bacillales,1,,,,
B1260,Bacillales,2,,,,
B1260,Bacilli,1,,,,
B1260,Bacilli,1,,,,
B1260,Bacteroides,1,,,,
B1260,Bacteroidetes,10,,,,
B1260,Bacteroidetes,2,,,,
B1260,Bacteroidetes,2,,,,
B1260,Bacteroidetes,7,,,,
B1260,Bradyrhizobiaceae,8,,,,
B1260,Bradyrhizobium,1,,,,
B1260,Burkholderiales,1,,,,
B1260,Campylobacter,1,,,,
B1260,Campylobacter,2,,,,
B1260,Chloroplast,2,,,,
B1260,Clostridia,2,,,,
B1260,Clostridiales,1,,,,
B1260,Clostridiales,1,,,,
B1260,Clostridiales,2,,,,
B1260,Clostridiales,2,,,,
B1260,Clostridiales,7,,,,
B1260,Comamonadaceae,2,,,,
B1260,Corynebacterineae,1,,,,
B1260,Corynebacterineae,4,,,,
B1260,Corynebacterium,29,,,,
B1260,Dermabacter,2,,,,
B1260,Enterobacteriaceae,1,,,,
B1260,Finegoldia,1,,,,
B1260,Finegoldia,3,,,,
B1260,Firmicutes,1,,,,
B1260,Gammaproteobacteria,1,,,,
B1260,Gammaproteobacteria,2,,,,
B1260,Gemella,1,,,,
B1260,Hyphomicrobium,1,,,,
B1260,Lactobacillales,1,,,,
B1260,Lactobacillales,2,,,,
B1260,Methylophilaceae,3,,,,
B1260,Micrococcineae,1,,,,
B1260,Mobiluncus,1,,,,
B1260,Myxococcales,1,,,,
B1260,Novosphingobium,4,,,,
B1260,Peptococcus,5,,,,
B1260,Peptoniphilus,1,,,,
B1260,Peptoniphilus,1,,,,
B1260,Peptoniphilus,1,,,,
B1260,Peptoniphilus,6,,,,
B1260,Phenylobacterium,1,,,,
B1260,Phenylobacterium,3,,,,
B1260,Polyangiaceae,2,,,,
B1260,Porphyromonas,1,,,,
B1260,Prevotella,1,,,,
B1260,Prevotella,1,,,,
B1260,Proteobacteria,1,,,,
B1260,Pseudomonadaceae,1,,,,
B1260,Rhodobacteraceae,1,,,,
B1260,Rhodobacteraceae,1,,,,
B1260,Rhodospirillales,2,,,,
B1260,Rubrobacteraceae,1,,,,
B1260,Staphylococcus,1,,,,
B1260,Staphylococcus,1,,,,
B1260,Staphylococcus,82,,,,
B1260,Streptococcus,1,,,,
B1260,Streptococcus,1,,,,
B1260,Streptococcus,1,,,,
B1260,Streptococcus,5,,,,
B1260,Terrimonas,1,,,,
B1260,unidentified,1,,,,
B1260,unidentified,1,,,,
B1260,unidentified,11,,,,
B1260,unidentified,2,,,,
B1260,unidentified,3,,,,
B1260,unidentified,4,,,,
B1260,unidentified,4,,,,
B1264,Acidobacteriaceae,1,,,,
B1264,Acinetobacter,1,,,,
B1264,Actinobacteridae,1,,,,
B1264,Actinobacteridae,1,,,,
B1264,Actinobacteridae,5,,,,
B1264,Anaerococcus,1,,,,
B1264,Anaerococcus,1,,,,
B1264,Anaerococcus,1,,,,
B1264,Anaerococcus,12,,,,
B1264,Anaerococcus,3,,,,
B1264,Anaerococcus,5,,,,
B1264,Anaerococcus,6,,,,
B1264,Aquabacterium,2,,,,
B1264,Bacilli,1,,,,
B1264,Bacteroidetes,1,,,,
B1264,Bacteroidetes,1,,,,
B1264,Bacteroidetes,10,,,,
B1264,Bacteroidetes,3,,,,
B1264,Bacteroidetes,5,,,,
B1264,Betaproteobacteria,1,,,,
B1264,Betaproteobacteria,1,,,,
B1264,Betaproteobacteria,1,,,,
B1264,Bradyrhizobiaceae,1,,,,
B1264,Bradyrhizobiaceae,4,,,,
B1264,Bradyrhizobium,1,,,,
B1264,Brevibacterium,2,,,,
B1264,Burkholderiales,3,,,,
B1264,Campylobacter,1,,,,
B1264,Clostridia,2,,,,
B1264,Clostridiales,1,,,,
B1264,Clostridiales,22,,,,
B1264,Clostridiales,3,,,,
B1264,Clostridiales,4,,,,
B1264,Clostridiales,9,,,,
B1264,Corynebacterineae,1,,,,
B1264,Corynebacterineae,19,,,,
B1264,Corynebacterium,1,,,,
B1264,Corynebacterium,1,,,,
B1264,Corynebacterium,4,,,,
B1264,Crenotrichaceae,2,,,,
B1264,Dialister,4,,,,
B1264,Finegoldia,1,,,,
B1264,Finegoldia,13,,,,
B1264,Lactobacillales,4,,,,
B1264,Mesorhizobium,2,,,,
B1264,Methylophilaceae,5,,,,
B1264,Microbacteriaceae,1,,,,
B1264,Microbacteriaceae,1,,,,
B1264,Micromonosporaceae,1,,,,
B1264,Mobiluncus,9,,,,
B1264,Novosphingobium,19,,,,
B1264,Peptococcus,21,,,,
B1264,Peptoniphilus,1,,,,
B1264,Peptoniphilus,1,,,,
B1264,Peptoniphilus,2,,,,
B1264,Peptoniphilus,31,,,,
B1264,Peptoniphilus,4,,,,
B1264,Phenylobacterium,9,,,,
B1264,Porphyromonadaceae,2,,,,
B1264,Porphyromonas,2,,,,
B1264,Prevotella,4,,,,
B1264,Proteobacteria,1,,,,
B1264,Proteobacteria,3,,,,
B1264,Pseudomonas,1,,,,
B1264,Ralstonia,6,,,,
B1264,Rhizobiales,1,,,,
B1264,Rhodospirillales,1,,,,
B1264,Sphingobacteriales,6,,,,
B1264,Sphingomonas,1,,,,
B1264,Staphylococcus,7,,,,
B1264,Streptococcus,3,,,,
B1264,Streptococcus,3,,,,
B1264,Terrimonas,6,,,,
B1264,unidentified,1,,,,
B1264,unidentified,1,,,,
B1264,unidentified,1,,,,
B1264,unidentified,16,,,,
B1264,unidentified,2,,,,
B1264,unidentified,2,,,,
B1264,unidentified,21,,,,
B1264,unidentified,24,,,,
B1264,unidentified,4,,,,
B1264,unidentified,7,,,,
B1265,Acidobacteriaceae,1,,,,
B1265,Actinobacteridae,3,,,,
B1265,Actinobacteridae,7,,,,
B1265,Actinomycetaceae,3,,,,
B1265,Actinomycetales,1,,,,
B1265,Anaerococcus,1,,,,
B1265,Anaerococcus,1,,,,
B1265,Anaerococcus,3,,,,
B1265,Anaerococcus,8,,,,
B1265,Anaerococcus,8,,,,
B1265,Bacillales,1,,,,
B1265,Bacillales,1,,,,
B1265,Bacilli,2,,,,
B1265,Bacteroidetes,1,,,,
B1265,Bacteroidetes,1,,,,
B1265,Bacteroidetes,14,,,,
B1265,Bacteroidetes,5,,,,
B1265,Bradyrhizobiaceae,1,,,,
B1265,Bradyrhizobiaceae,1,,,,
B1265,Bradyrhizobiaceae,5,,,,
B1265,Branhamella,1,,,,
B1265,Brevibacterium,1,,,,
B1265,Cellvibrio,1,,,,
B1265,Chloroplast,1,,,,
B1265,Clostridia,4,,,,
B1265,Clostridiales,1,,,,
B1265,Clostridiales,15,,,,
B1265,Clostridiales,4,,,,
B1265,Clostridiales,5,,,,
B1265,Corynebacterineae,22,,,,
B1265,Corynebacterium,1,,,,
B1265,Corynebacterium,7,,,,
B1265,Dermabacter,1,,,,
B1265,Dialister,2,,,,
B1265,Finegoldia,1,,,,
B1265,Finegoldia,1,,,,
B1265,Finegoldia,1,,,,
B1265,Finegoldia,12,,,,
B1265,Lactobacillales,9,,,,
B1265,Limnobacter,1,,,,
B1265,Methanobrevibacter,3,,,,
B1265,Methylophilaceae,1,,,,
B1265,Microbulbifer,1,,,,
B1265,Mobiluncus,18,,,,
B1265,Novosphingobium,3,,,,
B1265,Paenibacillaceae,1,,,,
B1265,Pedomicrobium,1,,,,
B1265,Peptococcus,1,,,,
B1265,Peptococcus,13,,,,
B1265,Peptoniphilus,1,,,,
B1265,Peptoniphilus,1,,,,
B1265,Peptoniphilus,1,,,,
B1265,Peptoniphilus,1,,,,
B1265,Peptoniphilus,1,,,,
B1265,Peptoniphilus,1,,,,
B1265,Peptoniphilus,4,,,,
B1265,Peptoniphilus,43,,,,
B1265,Peptoniphilus,5,,,,
B1265,Phenylobacterium,2,,,,
B1265,Polyangiaceae,2,,,,
B1265,Porphyromonadaceae,7,,,,
B1265,Porphyromonas,2,,,,
B1265,Porphyromonas,3,,,,
B1265,Prevotella,3,,,,
B1265,Pseudomonas,1,,,,
B1265,Sphingomonas,1,,,,
B1265,Staphylococcus,7,,,,
B1265,Streptococcus,1,,,,
B1265,Terrimonas,2,,,,
B1265,unidentified,1,,,,
B1265,unidentified,1,,,,
B1265,unidentified,1,,,,
B1265,unidentified,1,,,,
B1265,unidentified,1,,,,
B1265,unidentified,1,,,,
B1265,unidentified,1,,,,
B1265,unidentified,1,,,,
B1265,unidentified,1,,,,
B1265,unidentified,12,,,,
B1265,unidentified,20,,,,
B1265,unidentified,27,,,,
B1265,unidentified,3,,,,
B1265,unidentified,37,,,,
B1265,Varibaculum,1,,,,
B1265,Veillonellaceae,1,,,,
B1273,Actinobacteridae,2,,,,
B1273,Actinomyces,1,,,,
B1273,Actinomycetales,1,,,,
B1273,Actinomycetales,1,,,,
B1273,Actinomycetales,1,,,,
B1273,Anaerococcus,1,,,,
B1273,Anaerococcus,1,,,,
B1273,Anaerococcus,1,,,,
B1273,Anaerococcus,1,,,,
B1273,Anaerococcus,1,,,,
B1273,Anaerococcus,1,,,,
B1273,Anaerococcus,1,,,,
B1273,Anaerococcus,1,,,,
B1273,Anaerococcus,1,,,,
B1273,Anaerococcus,1,,,,
B1273,Anaerococcus,1,,,,
B1273,Anaerococcus,11,,,,
B1273,Anaerococcus,22,,,,
B1273,Anaerococcus,24,,,,
B1273,Anaerococcus,4,,,,
B1273,Bacilli,1,,,,
B1273,Bacilli,1,,,,
B1273,Bacteroidetes,1,,,,
B1273,Bacteroidetes,30,,,,
B1273,Brevibacterium,2,,,,
B1273,Carnobacteriaceae,1,,,,
B1273,Carnobacteriaceae,1,,,,
B1273,Clostridiales,5,,,,
B1273,Corynebacterineae,2,,,,
B1273,Corynebacterineae,59,,,,
B1273,Corynebacterium,21,,,,
B1273,Corynebacterium,5,,,,
B1273,Dermabacter,1,,,,
B1273,Dermabacter,2,,,,
B1273,Finegoldia,1,,,,
B1273,Finegoldia,1,,,,
B1273,Finegoldia,1,,,,
B1273,Finegoldia,1,,,,
B1273,Finegoldia,57,,,,
B1273,Firmicutes,1,,,,
B1273,Lactobacillales,1,,,,
B1273,Lactobacillales,1,,,,
B1273,Lactobacillales,1,,,,
B1273,Lactobacillales,23,,,,
B1273,Microbacteriaceae,2,,,,
B1273,Micrococcineae,1,,,,
B1273,Micrococcineae,1,,,,
B1273,Peptococcus,3,,,,
B1273,Peptoniphilus,1,,,,
B1273,Peptoniphilus,1,,,,
B1273,Peptoniphilus,1,,,,
B1273,Peptoniphilus,1,,,,
B1273,Peptoniphilus,1,,,,
B1273,Peptoniphilus,2,,,,
B1273,Peptoniphilus,61,,,,
B1273,Prevotella,7,,,,
B1273,Staphylococcus,10,,,,
B1273,unidentified,1,,,,
B1273,unidentified,1,,,,
B1273,Varibaculum,1,,,,
B1273,Varibaculum,7,,,,
B1275,Actinobacteridae,1,,,,
B1275,Actinobacteridae,4,,,,
B1275,Actinobacteridae,6,,,,
B1275,Actinomycetaceae,1,,,,
B1275,Actinomycetales,1,,,,
B1275,Anaerococcus,1,,,,
B1275,Anaerococcus,1,,,,
B1275,Anaerococcus,1,,,,
B1275,Anaerococcus,1,,,,
B1275,Anaerococcus,1,,,,
B1275,Anaerococcus,1,,,,
B1275,Anaerococcus,14,,,,
B1275,Anaerococcus,4,,,,
B1275,Anaerococcus,5,,,,
B1275,Bacillales,1,,,,
B1275,Bacteroidetes,1,,,,
B1275,Bacteroidetes,1,,,,
B1275,Bacteroidetes,1,,,,
B1275,Bacteroidetes,70,,,,
B1275,Branhamella,1,,,,
B1275,Campylobacter,1,,,,
B1275,Campylobacter,4,,,,
B1275,Clostridia,1,,,,
B1275,Clostridia,1,,,,
B1275,Clostridiales,1,,,,
B1275,Clostridiales,1,,,,
B1275,Clostridiales,1,,,,
B1275,Clostridiales,1,,,,
B1275,Clostridiales,10,,,,
B1275,Clostridiales,2,,,,
B1275,Clostridiales,4,,,,
B1275,Clostridiales,7,,,,
B1275,Corynebacterium,2,,,,
B1275,Dialister,2,,,,
B1275,Finegoldia,10,,,,
B1275,Firmicutes,1,,,,
B1275,Firmicutes,1,,,,
B1275,Firmicutes,1,,,,
B1275,Firmicutes,1,,,,
B1275,Firmicutes,1,,,,
B1275,Firmicutes,3,,,,
B1275,Mobiluncus,8,,,,
B1275,Peptococcus,1,,,,
B1275,Peptoniphilus,3,,,,
B1275,Peptoniphilus,9,,,,
B1275,Porphyromonadaceae,1,,,,
B1275,Porphyromonadaceae,1,,,,
B1275,Porphyromonadaceae,52,,,,
B1275,Porphyromonas,1,,,,
B1275,Porphyromonas,1,,,,
B1275,Porphyromonas,1,,,,
B1275,Porphyromonas,11,,,,
B1275,Porphyromonas,2,,,,
B1275,Prevotella,8,,,,
B1275,Staphylococcus,5,,,,
B1275,Succiniclasticum,5,,,,
B1275,unidentified,1,,,,
B1275,unidentified,1,,,,
B1275,unidentified,1,,,,
B1275,unidentified,1,,,,
B1275,unidentified,1,,,,
B1275,unidentified,1,,,,
B1275,unidentified,1,,,,
B1275,unidentified,1,,,,
B1275,unidentified,1,,,,
B1275,unidentified,1,,,,
B1275,unidentified,1,,,,
B1275,unidentified,1,,,,
B1275,unidentified,1,,,,
B1275,unidentified,1,,,,
B1275,unidentified,1,,,,
B1275,unidentified,1,,,,
B1275,unidentified,10,,,,
B1275,unidentified,13,,,,
B1275,unidentified,19,,,,
B1275,unidentified,2,,,,
B1275,unidentified,2,,,,
B1275,unidentified,31,,,,
B1275,unidentified,4,,,,
B1275,unidentified,5,,,,
B1275,unidentified,6,,,,
B1275,Varibaculum,1,,,,
B1275,Varibaculum,7,,,,
B1275,Veillonellaceae,1,,,,
B1275,Veillonellaceae,1,,,,
B1278,Acidobacteriaceae,1,,,,
B1278,Actinobacteridae,1,,,,
B1278,Actinobacteridae,2,,,,
B1278,Actinobacteridae,2,,,,
B1278,Actinomycetales,1,,,,
B1278,Actinomycetales,1,,,,
B1278,Anaerococcus,1,,,,
B1278,Anaerococcus,1,,,,
B1278,Anaerococcus,1,,,,
B1278,Anaerococcus,1,,,,
B1278,Anaerococcus,1,,,,
B1278,Anaerococcus,1,,,,
B1278,Anaerococcus,1,,,,
B1278,Anaerococcus,1,,,,
B1278,Anaerococcus,2,,,,
B1278,Anaerococcus,31,,,,
B1278,Anaerococcus,65,,,,
B1278,Bacillales,1,,,,
B1278,Bacilli,2,,,,
B1278,Bacilli,2,,,,
B1278,Bacteroidetes,3,,,,
B1278,Bradyrhizobiaceae,1,,,,
B1278,Burkholderiales,1,,,,
B1278,Corynebacterineae,1,,,,
B1278,Corynebacterineae,1,,,,
B1278,Corynebacterineae,1,,,,
B1278,Corynebacterineae,1,,,,
B1278,Corynebacterineae,127,,,,
B1278,Corynebacterineae,2,,,,
B1278,Corynebacterium,1,,,,
B1278,Corynebacterium,1,,,,
B1278,Corynebacterium,1,,,,
B1278,Corynebacterium,2,,,,
B1278,Corynebacterium,3,,,,
B1278,Finegoldia,4,,,,
B1278,Lactobacillales,1,,,,
B1278,Novosphingobium,1,,,,
B1278,Pelomonas,1,,,,
B1278,Peptoniphilus,5,,,,
B1278,Phenylobacterium,1,,,,
B1278,Rhodospirillales,1,,,,
B1278,Staphylococcaceae,1,,,,
B1278,Staphylococcus,1,,,,
B1278,Staphylococcus,115,,,,
B1278,Streptococcus,1,,,,
B1278,unidentified,1,,,,
B1278,unidentified,2,,,,
B1280,Actinobacteridae,1,,,,
B1280,Actinobacteridae,1,,,,
B1280,Actinobacteridae,38,,,,
B1280,Actinomyces,1,,,,
B1280,Aerococcaceae,1,,,,
B1280,Aerococcaceae,1,,,,
B1280,Aerococcaceae,1,,,,
B1280,Aerococcaceae,27,,,,
B1280,Anaerococcus,1,,,,
B1280,Anaerococcus,1,,,,
B1280,Anaerococcus,1,,,,
B1280,Anaerococcus,1,,,,
B1280,Anaerococcus,1,,,,
B1280,Anaerococcus,1,,,,
B1280,Anaerococcus,1,,,,
B1280,Anaerococcus,3,,,,
B1280,Anaerococcus,3,,,,
B1280,Anaerococcus,32,,,,
B1280,Anaerococcus,4,,,,
B1280,Anaerococcus,8,,,,
B1280,Anaerococcus,9,,,,
B1280,Bacillales,1,,,,
B1280,Bacteroidetes,1,,,,
B1280,Bacteroidetes,3,,,,
B1280,Bradyrhizobiaceae,2,,,,
B1280,Clostridiales,1,,,,
B1280,Clostridiales,5,,,,
B1280,Corynebacterineae,38,,,,
B1280,Corynebacterium,1,,,,
B1280,Corynebacterium,128,,,,
B1280,Dermabacter,1,,,,
B1280,Dermabacter,13,,,,
B1280,Dermabacter,2,,,,
B1280,Faecalibacterium,1,,,,
B1280,Gammaproteobacteria,1,,,,
B1280,Methylophilaceae,2,,,,
B1280,Micrococcineae,1,,,,
B1280,Nevskia,1,,,,
B1280,Novosphingobium,4,,,,
B1280,Phenylobacterium,1,,,,
B1280,Rhodospirillales,2,,,,
B1280,Staphylococcaceae,1,,,,
B1280,Staphylococcus,49,,,,
B1280,Terrimonas,1,,,,
B1280,unidentified,2,,,,
B1280,Varibaculum,1,,,,
B1282,Actinobacteridae,1,,,,
B1282,Actinobacteridae,1,,,,
B1282,Actinomycetaceae,1,,,,
B1282,Actinomycetales,1,,,,
B1282,Actinomycetales,2,,,,
B1282,Aerococcaceae,1,,,,
B1282,Aerococcaceae,3,,,,
B1282,Anaerococcus,1,,,,
B1282,Anaerococcus,1,,,,
B1282,Anaerococcus,1,,,,
B1282,Anaerococcus,1,,,,
B1282,Anaerococcus,1,,,,
B1282,Anaerococcus,1,,,,
B1282,Anaerococcus,1,,,,
B1282,Anaerococcus,1,,,,
B1282,Anaerococcus,1,,,,
B1282,Anaerococcus,1,,,,
B1282,Anaerococcus,1,,,,
B1282,Anaerococcus,23,,,,
B1282,Anaerococcus,3,,,,
B1282,Anaerococcus,31,,,,
B1282,Anaerococcus,4,,,,
B1282,Anaerococcus,7,,,,
B1282,Anaerococcus,8,,,,
B1282,Bacillales,1,,,,
B1282,Bacillales,2,,,,
B1282,Bacillales,4,,,,
B1282,Bacillales,93,,,,
B1282,Bacilli,1,,,,
B1282,Bradyrhizobiaceae,1,,,,
B1282,Burkholderiales,1,,,,
B1282,Clostridiales,1,,,,
B1282,Clostridiales,1,,,,
B1282,Clostridiales,1,,,,
B1282,Clostridiales,1,,,,
B1282,Clostridiales,1,,,,
B1282,Clostridiales,1,,,,
B1282,Clostridiales,1,,,,
B1282,Clostridiales,2,,,,
B1282,Clostridiales,3,,,,
B1282,Clostridiales,3,,,,
B1282,Corynebacterineae,1,,,,
B1282,Corynebacterineae,1,,,,
B1282,Corynebacterineae,1,,,,
B1282,Corynebacterineae,1,,,,
B1282,Corynebacterineae,1,,,,
B1282,Corynebacterineae,2,,,,
B1282,Corynebacterineae,33,,,,
B1282,Corynebacterium,18,,,,
B1282,Corynebacterium,24,,,,
B1282,Corynebacterium,6,,,,
B1282,Dermabacter,2,,,,
B1282,Firmicutes,2,,,,
B1282,Nocardioidaceae,1,,,,
B1282,Novosphingobium,1,,,,
B1282,Peptoniphilus,2,,,,
B1282,Peptostreptococcaceae Incertae Sedis,1,,,,
B1282,Porphyromonas,1,,,,
B1282,Rhodobacteraceae,1,,,,
B1282,Rhodococcus,6,,,,
B1282,Rhodococcus,69,,,,
B1282,Staphylococcus,1,,,,
B1282,Staphylococcus,4,,,,
B1282,unidentified,1,,,,
B1282,unidentified,1,,,,
B1282,unidentified,1,,,,
B1282,unidentified,3,,,,
B1283,Actinobacteridae,1,,,,
B1283,Actinobacteridae,12,,,,
B1283,Actinomycetaceae,3,,,,
B1283,Actinomycetales,1,,,,
B1283,Anaerococcus,7,,,,
B1283,Bacteroidetes,1,,,,
B1283,Bacteroidetes,1,,,,
B1283,Bacteroidetes,1,,,,
B1283,Bacteroidetes,1,,,,
B1283,Bacteroidetes,1,,,,
B1283,Bacteroidetes,68,,,,
B1283,Campylobacter,3,,,,
B1283,Clostridiales,1,,,,
B1283,Clostridiales,1,,,,
B1283,Clostridiales,10,,,,
B1283,Clostridiales,2,,,,
B1283,Clostridiales,20,,,,
B1283,Clostridiales,3,,,,
B1283,Coriobacteriaceae,1,,,,
B1283,Corynebacterineae,6,,,,
B1283,Corynebacterium,1,,,,
B1283,Corynebacterium,2,,,,
B1283,Dermabacter,1,,,,
B1283,Dialister,2,,,,
B1283,Dialister,3,,,,
B1283,Finegoldia,2,,,,
B1283,Firmicutes,2,,,,
B1283,Firmicutes,2,,,,
B1283,Methylobacterium,1,,,,
B1283,Mobiluncus,1,,,,
B1283,Mobiluncus,15,,,,
B1283,Novosphingobium,1,,,,
B1283,Peptococcus,1,,,,
B1283,Peptoniphilus,1,,,,
B1283,Peptoniphilus,16,,,,
B1283,Porphyromonadaceae,8,,,,
B1283,Porphyromonas,1,,,,
B1283,Porphyromonas,1,,,,
B1283,Porphyromonas,29,,,,
B1283,Porphyromonas,5,,,,
B1283,Prevotella,2,,,,
B1283,Prevotella,4,,,,
B1283,Prevotellaceae,5,,,,
B1283,Rhodospirillales,1,,,,
B1283,Streptococcus,2,,,,
B1283,Terrimonas,1,,,,
B1283,unidentified,1,,,,
B1283,unidentified,1,,,,
B1283,unidentified,1,,,,
B1283,unidentified,1,,,,
B1283,unidentified,1,,,,
B1283,unidentified,1,,,,
B1283,unidentified,1,,,,
B1283,unidentified,1,,,,
B1283,unidentified,1,,,,
B1283,unidentified,1,,,,
B1283,unidentified,1,,,,
B1283,unidentified,1,,,,
B1283,unidentified,12,,,,
B1283,unidentified,19,,,,
B1283,unidentified,2,,,,
B1283,unidentified,2,,,,
B1283,unidentified,3,,,,
B1283,unidentified,34,,,,
B1283,unidentified,54,,,,
B1283,unidentified,7,,,,
B1283,Veillonellaceae,1,,,,
B1284,Actinobacteridae,1,,,,
B1284,Actinobacteridae,1,,,,
B1284,Actinobacteridae,15,,,,
B1284,Actinomyces,1,,,,
B1284,Actinomycetales,1,,,,
B1284,Actinomycetales,1,,,,
B1284,Aerococcaceae,1,,,,
B1284,Anaerococcus,1,,,,
B1284,Anaerococcus,1,,,,
B1284,Anaerococcus,1,,,,
B1284,Anaerococcus,2,,,,
B1284,Bacteroidetes,1,,,,
B1284,Bacteroidetes,1,,,,
B1284,Bacteroidetes,1,,,,
B1284,Bacteroidetes,2,,,,
B1284,Bacteroidetes,3,,,,
B1284,Bacteroidetes,43,,,,
B1284,Clostridiales,1,,,,
B1284,Clostridiales,1,,,,
B1284,Clostridiales,1,,,,
B1284,Clostridiales,1,,,,
B1284,Clostridiales,1,,,,
B1284,Clostridiales,14,,,,
B1284,Clostridiales,2,,,,
B1284,Corynebacterineae,6,,,,
B1284,Dialister,1,,,,
B1284,Dialister,11,,,,
B1284,Firmicutes,1,,,,
B1284,Firmicutes,1,,,,
B1284,Firmicutes,2,,,,
B1284,Hallella,1,,,,
B1284,Mobiluncus,1,,,,
B1284,Mobiluncus,24,,,,
B1284,Peptoniphilus,1,,,,
B1284,Peptoniphilus,2,,,,
B1284,Peptoniphilus,9,,,,
B1284,Porphyromonadaceae,1,,,,
B1284,Porphyromonadaceae,1,,,,
B1284,Porphyromonadaceae,1,,,,
B1284,Porphyromonadaceae,10,,,,
B1284,Porphyromonas,1,,,,
B1284,Porphyromonas,1,,,,
B1284,Porphyromonas,1,,,,
B1284,Porphyromonas,1,,,,
B1284,Porphyromonas,2,,,,
B1284,Porphyromonas,20,,,,
B1284,Porphyromonas,3,,,,
B1284,Prevotella,7,,,,
B1284,Prevotellaceae,1,,,,
B1284,Prevotellaceae,9,,,,
B1284,unidentified,1,,,,
B1284,unidentified,1,,,,
B1284,unidentified,1,,,,
B1284,unidentified,1,,,,
B1284,unidentified,1,,,,
B1284,unidentified,1,,,,
B1284,unidentified,1,,,,
B1284,unidentified,1,,,,
B1284,unidentified,1,,,,
B1284,unidentified,1,,,,
B1284,unidentified,1,,,,
B1284,unidentified,1,,,,
B1284,unidentified,1,,,,
B1284,unidentified,1,,,,
B1284,unidentified,1,,,,
B1284,unidentified,1,,,,
B1284,unidentified,1,,,,
B1284,unidentified,1,,,,
B1284,unidentified,1,,,,
B1284,unidentified,1,,,,
B1284,unidentified,1,,,,
B1284,unidentified,1,,,,
B1284,unidentified,1,,,,
B1284,unidentified,1,,,,
B1284,unidentified,1,,,,
B1284,unidentified,1,,,,
B1284,unidentified,1,,,,
B1284,unidentified,1,,,,
B1284,unidentified,17,,,,
B1284,unidentified,2,,,,
B1284,unidentified,2,,,,
B1284,unidentified,2,,,,
B1284,unidentified,28,,,,
B1284,unidentified,3,,,,
B1284,unidentified,3,,,,
B1284,unidentified,4,,,,
B1284,unidentified,4,,,,
B1284,unidentified,7,,,,
B1284,unidentified,81,,,,
B1284,Varibaculum,1,,,,
B1284,Varibaculum,1,,,,
B1285,Actinobacteridae,1,,,,
B1285,Actinobacteridae,1,,,,
B1285,Actinobacteridae,2,,,,
B1285,Actinobacteridae,3,,,,
B1285,Actinomycetales,1,,,,
B1285,Actinomycetales,1,,,,
B1285,Alcaligenaceae,1,,,,
B1285,Anaerococcus,1,,,,
B1285,Anaerococcus,1,,,,
B1285,Anaerococcus,1,,,,
B1285,Anaerococcus,1,,,,
B1285,Anaerococcus,1,,,,
B1285,Anaerococcus,1,,,,
B1285,Anaerococcus,1,,,,
B1285,Anaerococcus,1,,,,
B1285,Anaerococcus,1,,,,
B1285,Anaerococcus,1,,,,
B1285,Anaerococcus,1,,,,
B1285,Anaerococcus,1,,,,
B1285,Anaerococcus,19,,,,
B1285,Anaerococcus,2,,,,
B1285,Anaerococcus,2,,,,
B1285,Anaerococcus,2,,,,
B1285,Anaerococcus,63,,,,
B1285,Anaerococcus,8,,,,
B1285,Anaerococcus,82,,,,
B1285,Branhamella,1,,,,
B1285,Branhamella,2,,,,
B1285,Branhamella,32,,,,
B1285,Chloroplast,1,,,,
B1285,Chloroplast,1,,,,
B1285,Clostridia,1,,,,
B1285,Clostridia,1,,,,
B1285,Clostridiales,1,,,,
B1285,Clostridiales,28,,,,
B1285,Corynebacterineae,1,,,,
B1285,Corynebacterineae,3,,,,
B1285,Corynebacterineae,75,,,,
B1285,Corynebacterium,1,,,,
B1285,Corynebacterium,20,,,,
B1285,Finegoldia,1,,,,
B1285,Finegoldia,8,,,,
B1285,Lactobacillaceae,1,,,,
B1285,Moraxellaceae,1,,,,
B1285,Peptoniphilus,1,,,,
B1285,Peptoniphilus,1,,,,
B1285,Peptoniphilus,1,,,,
B1285,Peptoniphilus,7,,,,
B1285,Porphyromonadaceae,1,,,,
B1285,Prevotella,1,,,,
B1285,Staphylococcus,5,,,,
B1285,Streptococcus,1,,,,
B1285,unidentified,1,,,,
B1285,unidentified,1,,,,
B1285,unidentified,1,,,,
B1286,Actinobacteridae,3,,,,
B1286,Actinomycetaceae,2,,,,
B1286,Actinomycetales,1,,,,
B1286,Actinomycetales,1,,,,
B1286,Anaerococcus,1,,,,
B1286,Anaerococcus,1,,,,
B1286,Anaerococcus,1,,,,
B1286,Anaerococcus,1,,,,
B1286,Anaerococcus,1,,,,
B1286,Anaerococcus,1,,,,
B1286,Anaerococcus,1,,,,
B1286,Anaerococcus,11,,,,
B1286,Anaerococcus,19,,,,
B1286,Anaerococcus,2,,,,
B1286,Campylobacter,1,,,,
B1286,Campylobacter,1,,,,
B1286,Campylobacter,34,,,,
B1286,Campylobacterales,1,,,,
B1286,Campylobacterales,2,,,,
B1286,Clostridia,1,,,,
B1286,Clostridiales,1,,,,
B1286,Clostridiales,1,,,,
B1286,Clostridiales,1,,,,
B1286,Clostridiales,1,,,,
B1286,Clostridiales,1,,,,
B1286,Clostridiales,1,,,,
B1286,Clostridiales,1,,,,
B1286,Clostridiales,1,,,,
B1286,Clostridiales,2,,,,
