caseid,year,age,sex,polviews,partyid,indus10
72,1985,38.0,2,5.0,2.0,770.0
73,1985,40.0,2,4.0,3.0,8190.0
75,1985,42.0,2,5.0,0.0,8190.0
76,1985,79.0,2,1.0,2.0,5170.0
77,1985,36.0,2,4.0,1.0,7070.0
78,1985,37.0,2,4.0,2.0,5690.0
79,1985,38.0,2,4.0,1.0,3580.0
81,1985,39.0,2,4.0,5.0,8190.0
82,1985,40.0,2,6.0,6.0,6970.0
83,1985,63.0,2,5.0,5.0,6870.0
84,1985,43.0,1,2.0,1.0,7970.0
87,1985,59.0,2,6.0,6.0,9160.0
88,1985,39.0,2,5.0,6.0,7860.0
89,1985,56.0,2,2.0,0.0,7870.0
90,1985,75.0,1,4.0,6.0,3580.0
92,1985,46.0,2,6.0,0.0,8190.0
94,1985,49.0,2,5.0,4.0,3960.0
95,1985,32.0,2,5.0,0.0,7280.0
96,1985,38.0,2,4.0,3.0,3490.0
97,1985,53.0,1,4.0,4.0,770.0
98,1985,82.0,2,6.0,6.0,5170.0
99,1985,22.0,1,5.0,1.0,8880.0
100,1985,89.0,2,5.0,0.0,6470.0
102,1985,83.0,1,6.0,6.0,6890.0
103,1985,58.0,2,6.0,5.0,6990.0
104,1985,28.0,2,5.0,4.0,3170.0
105,1985,58.0,1,4.0,2.0,2980.0
106,1985,52.0,2,5.0,2.0,8190.0
107,1985,43.0,1,6.0,6.0,3170.0
108,1985,65.0,1,6.0,6.0,6890.0
109,1985,51.0,2,2.0,2.0,7860.0
110,1985,64.0,1,3.0,3.0,9290.0
111,1985,41.0,2,3.0,0.0,2590.0
112,1985,50.0,1,4.0,2.0,7290.0
114,1985,46.0,2,5.0,0.0,6990.0
115,1985,51.0,1,4.0,0.0,6870.0
116,1985,52.0,2,1.0,0.0,7070.0
117,1985,58.0,1,3.0,0.0,3890.0
118,1985,67.0,2,3.0,0.0,6870.0
119,1985,27.0,1,4.0,1.0,3770.0
120,1985,69.0,1,4.0,0.0,2670.0
122,1985,39.0,1,5.0,1.0,9470.0
124,1985,34.0,2,1.0,2.0,7860.0
126,1985,55.0,1,3.0,1.0,9470.0
127,1985,19.0,1,4.0,5.0,4970.0
128,1985,57.0,2,2.0,0.0,4980.0
129,1985,42.0,1,5.0,1.0,7870.0
131,1985,41.0,2,5.0,5.0,6870.0
132,1985,40.0,2,3.0,3.0,6870.0
133,1985,43.0,2,4.0,5.0,7290.0
134,1985,58.0,1,6.0,4.0,7870.0
135,1985,50.0,1,5.0,5.0,7270.0
136,1985,28.0,1,5.0,6.0,2070.0
137,1985,62.0,1,5.0,6.0,9170.0
138,1985,27.0,2,2.0,2.0,5390.0
139,1985,45.0,1,4.0,4.0,7390.0
140,1985,57.0,1,5.0,4.0,3360.0
141,1985,47.0,2,4.0,5.0,3090.0
142,1985,34.0,1,5.0,2.0,6990.0
143,1985,24.0,2,5.0,6.0,6990.0
144,1985,26.0,2,6.0,1.0,2980.0
145,1985,49.0,2,5.0,5.0,6870.0
147,1985,31.0,2,3.0,3.0,8270.0
148,1985,35.0,2,2.0,1.0,6680.0
149,1985,38.0,1,3.0,2.0,7980.0
151,1985,78.0,1,3.0,6.0,7870.0
153,1985,60.0,2,4.0,4.0,8980.0
154,1985,21.0,2,4.0,2.0,8590.0
155,1985,69.0,2,4.0,4.0,7860.0
156,1985,35.0,1,6.0,3.0,7790.0
157,1985,78.0,2,2.0,1.0,1680.0
158,1985,30.0,1,4.0,2.0,6370.0
159,1985,40.0,1,4.0,5.0,6680.0
160,1985,30.0,2,2.0,0.0,8190.0
161,1985,59.0,2,6.0,0.0,9290.0
162,1985,57.0,2,4.0,4.0,7070.0
163,1985,32.0,2,4.0,3.0,8680.0
164,1985,35.0,2,4.0,3.0,7860.0
165,1985,28.0,1,5.0,6.0,4790.0
166,1985,68.0,1,5.0,4.0,6990.0
167,1985,83.0,1,4.0,0.0,2670.0
168,1985,54.0,1,4.0,3.0,770.0
169,1985,30.0,2,4.0,6.0,8180.0
170,1985,32.0,1,5.0,0.0,6190.0
171,1985,66.0,1,3.0,0.0,3570.0
172,1985,59.0,1,4.0,1.0,6080.0
173,1985,57.0,1,7.0,0.0,8680.0
174,1985,41.0,1,2.0,1.0,6170.0
175,1985,53.0,1,4.0,1.0,1270.0
176,1985,29.0,1,3.0,2.0,7070.0
177,1985,32.0,1,6.0,5.0,570.0
179,1985,25.0,1,5.0,6.0,8680.0
180,1985,72.0,2,5.0,4.0,3170.0
181,1985,83.0,2,4.0,6.0,8190.0
182,1985,66.0,2,2.0,3.0,6870.0
183,1985,27.0,2,5.0,6.0,6480.0
184,1985,20.0,1,5.0,3.0,770.0
185,1985,35.0,1,3.0,3.0,9370.0
186,1985,47.0,2,5.0,5.0,4290.0
187,1985,21.0,2,4.0,5.0,4970.0
188,1985,56.0,2,6.0,5.0,5070.0
189,1985,27.0,2,2.0,5.0,6870.0
190,1985,53.0,1,5.0,2.0,2270.0
191,1985,25.0,1,3.0,5.0,8180.0
192,1985,46.0,1,2.0,2.0,7860.0
193,1985,23.0,1,2.0,4.0,8870.0
194,1985,32.0,1,6.0,6.0,7390.0
196,1985,65.0,2,4.0,0.0,9290.0
197,1985,38.0,1,2.0,1.0,7860.0
198,1985,36.0,1,1.0,2.0,6670.0
199,1985,39.0,1,3.0,2.0,8690.0
200,1985,42.0,2,4.0,0.0,7270.0
201,1985,51.0,1,4.0,6.0,6990.0
202,1985,42.0,2,5.0,5.0,8680.0
203,1985,23.0,2,2.0,2.0,7490.0
204,1985,32.0,2,4.0,1.0,9480.0
205,1985,34.0,2,1.0,0.0,7860.0
206,1985,64.0,2,4.0,0.0,7070.0
207,1985,37.0,2,3.0,5.0,1680.0
208,1985,26.0,2,2.0,1.0,7280.0
209,1985,35.0,1,2.0,4.0,2190.0
210,1985,38.0,2,3.0,0.0,5380.0
211,1985,68.0,2,5.0,6.0,8680.0
212,1985,36.0,1,4.0,4.0,770.0
213,1985,46.0,1,5.0,3.0,4290.0
214,1985,37.0,2,4.0,1.0,1990.0
215,1985,23.0,1,4.0,4.0,9590.0
216,1985,50.0,2,4.0,5.0,6990.0
217,1985,25.0,2,2.0,5.0,5380.0
218,1985,81.0,2,6.0,6.0,7860.0
219,1985,45.0,2,2.0,2.0,8570.0
220,1985,28.0,1,6.0,5.0,7170.0
221,1985,58.0,1,5.0,4.0,9480.0
222,1985,39.0,1,5.0,5.0,7070.0
223,1985,35.0,2,4.0,3.0,4790.0
224,1985,37.0,1,3.0,0.0,9370.0
225,1985,34.0,2,6.0,6.0,7860.0
227,1985,63.0,1,1.0,0.0,9470.0
228,1985,69.0,1,1.0,0.0,6170.0
229,1985,38.0,2,1.0,0.0,7690.0
230,1985,23.0,2,3.0,0.0,7690.0
231,1985,42.0,2,4.0,2.0,9290.0
232,1985,22.0,2,3.0,5.0,770.0
234,1985,30.0,1,5.0,4.0,9590.0
235,1985,20.0,2,5.0,1.0,7590.0
236,1985,25.0,1,4.0,5.0,7380.0
237,1985,23.0,1,3.0,4.0,770.0
238,1985,26.0,2,3.0,2.0,7860.0
239,1985,40.0,1,3.0,5.0,4790.0
240,1985,79.0,1,4.0,2.0,8290.0
241,1985,57.0,1,6.0,2.0,3090.0
242,1985,62.0,2,6.0,6.0,8190.0
243,1985,49.0,2,4.0,4.0,7860.0
244,1985,40.0,2,6.0,6.0,6680.0
245,1985,65.0,2,4.0,6.0,6870.0
246,1985,50.0,2,5.0,5.0,7070.0
247,1985,70.0,2,2.0,0.0,7860.0
248,1985,62.0,1,5.0,2.0,1180.0
250,1985,21.0,2,4.0,5.0,8680.0
251,1985,67.0,2,2.0,0.0,9480.0
252,1985,23.0,2,5.0,5.0,8470.0
253,1985,30.0,2,4.0,6.0,6470.0
254,1985,45.0,1,5.0,5.0,6370.0
255,1985,33.0,2,4.0,5.0,7860.0
256,1985,28.0,1,4.0,6.0,7290.0
257,1985,38.0,1,4.0,1.0,770.0
258,1985,37.0,1,1.0,3.0,7860.0
259,1985,28.0,2,4.0,5.0,4770.0
260,1985,28.0,2,6.0,6.0,8980.0
261,1985,44.0,1,6.0,5.0,7570.0
262,1985,37.0,2,2.0,5.0,7370.0
263,1985,30.0,1,4.0,4.0,6480.0
264,1985,52.0,2,4.0,6.0,5090.0
265,1985,28.0,1,3.0,2.0,490.0
266,1985,34.0,2,4.0,1.0,4490.0
267,1985,37.0,1,6.0,6.0,490.0
270,1985,44.0,2,6.0,5.0,6990.0
271,1985,71.0,2,6.0,6.0,2380.0
272,1985,38.0,2,2.0,0.0,7860.0
273,1985,66.0,2,4.0,5.0,7070.0
274,1985,54.0,1,6.0,1.0,6090.0
275,1985,20.0,1,5.0,2.0,7270.0
276,1985,32.0,1,5.0,0.0,7870.0
277,1985,32.0,1,1.0,3.0,9480.0
278,1985,20.0,2,2.0,1.0,5170.0
279,1985,37.0,2,1.0,0.0,6380.0
280,1985,23.0,1,3.0,3.0,2290.0
281,1985,72.0,2,5.0,4.0,5170.0
282,1985,71.0,1,4.0,3.0,7070.0
283,1985,26.0,2,3.0,3.0,5470.0
284,1985,25.0,1,4.0,5.0,7680.0
285,1985,73.0,2,6.0,6.0,7270.0
286,1985,27.0,1,6.0,6.0,7290.0
287,1985,66.0,1,5.0,1.0,770.0
288,1985,62.0,2,4.0,1.0,6990.0
289,1985,74.0,2,4.0,5.0,5380.0
290,1985,75.0,2,6.0,4.0,5380.0
291,1985,83.0,1,3.0,0.0,5380.0
294,1985,65.0,2,6.0,4.0,7970.0
295,1985,60.0,1,4.0,5.0,7270.0
296,1985,51.0,1,5.0,5.0,770.0
298,1985,48.0,2,6.0,5.0,4470.0
299,1985,53.0,1,6.0,5.0,3590.0
300,1985,60.0,1,5.0,1.0,1370.0
301,1985,62.0,2,4.0,4.0,1180.0
302,1985,36.0,2,4.0,4.0,8190.0
303,1985,73.0,2,2.0,2.0,9370.0
304,1985,70.0,2,5.0,3.0,9370.0
305,1985,31.0,1,5.0,4.0,6870.0
306,1985,80.0,2,4.0,2.0,7980.0
307,1985,73.0,1,3.0,0.0,1170.0
308,1985,55.0,2,2.0,0.0,9380.0
309,1985,63.0,2,5.0,3.0,7860.0
310,1985,37.0,2,3.0,2.0,7860.0
311,1985,89.0,1,4.0,3.0,770.0
312,1985,55.0,2,4.0,1.0,3490.0
313,1985,32.0,1,4.0,0.0,6080.0
314,1985,67.0,1,4.0,0.0,9590.0
315,1985,64.0,1,7.0,0.0,770.0
316,1985,27.0,2,5.0,5.0,670.0
318,1985,43.0,1,4.0,1.0,6370.0
319,1985,38.0,2,2.0,1.0,7490.0
320,1985,65.0,2,6.0,0.0,5380.0
321,1985,65.0,2,3.0,2.0,6990.0
323,1985,29.0,2,5.0,5.0,5380.0
324,1985,50.0,1,5.0,1.0,2980.0
325,1985,52.0,1,4.0,0.0,4380.0
326,1985,48.0,2,4.0,1.0,1680.0
327,1985,51.0,1,5.0,1.0,2670.0
328,1985,33.0,1,4.0,1.0,2670.0
332,1985,51.0,2,2.0,0.0,9480.0
333,1985,30.0,2,4.0,5.0,6990.0
334,1985,55.0,2,4.0,1.0,1990.0
335,1985,37.0,1,4.0,3.0,2280.0
336,1985,70.0,1,4.0,6.0,7860.0
337,1985,20.0,2,4.0,1.0,2370.0
338,1985,36.0,2,2.0,2.0,8180.0
339,1985,32.0,2,4.0,1.0,8680.0
340,1985,48.0,2,4.0,0.0,7860.0
341,1985,67.0,1,4.0,5.0,5090.0
342,1985,36.0,2,4.0,1.0,7070.0
343,1985,62.0,2,1.0,2.0,7390.0
344,1985,56.0,2,3.0,0.0,8270.0
345,1985,67.0,2,5.0,6.0,3490.0
346,1985,40.0,1,2.0,0.0,7070.0
347,1985,39.0,2,2.0,5.0,7070.0
348,1985,65.0,1,3.0,1.0,7860.0
349,1985,58.0,1,6.0,6.0,6680.0
350,1985,64.0,1,6.0,5.0,7980.0
351,1985,87.0,2,4.0,5.0,3870.0
352,1985,48.0,2,5.0,1.0,8680.0
353,1985,43.0,2,4.0,0.0,8470.0
354,1985,53.0,2,4.0,1.0,6680.0
355,1985,45.0,1,6.0,6.0,570.0
356,1985,31.0,2,5.0,3.0,570.0
357,1985,27.0,1,5.0,6.0,6970.0
358,1985,40.0,2,5.0,4.0,7590.0
359,1985,25.0,1,4.0,0.0,770.0
360,1985,61.0,2,6.0,6.0,8680.0
361,1985,64.0,1,4.0,4.0,7590.0
362,1985,71.0,2,5.0,1.0,8980.0
363,1985,67.0,1,6.0,6.0,6990.0
364,1985,63.0,1,4.0,1.0,7970.0
365,1985,72.0,1,3.0,0.0,590.0
366,1985,27.0,1,6.0,2.0,6070.0
367,1985,33.0,1,6.0,3.0,770.0
368,1985,31.0,1,4.0,1.0,570.0
369,1985,21.0,2,6.0,1.0,6380.0
370,1985,67.0,1,1.0,0.0,7860.0
371,1985,58.0,2,4.0,1.0,5380.0
372,1985,44.0,2,2.0,0.0,9370.0
373,1985,48.0,1,2.0,4.0,2380.0
374,1985,53.0,1,6.0,0.0,3490.0
375,1985,56.0,1,5.0,2.0,2290.0
377,1985,53.0,1,4.0,6.0,2770.0
379,1985,84.0,2,6.0,4.0,4980.0
380,1985,76.0,2,2.0,5.0,5090.0
381,1985,51.0,2,6.0,6.0,7880.0
382,1985,69.0,2,4.0,5.0,6990.0
383,1985,73.0,1,4.0,0.0,2980.0
385,1985,55.0,1,4.0,1.0,770.0
386,1985,85.0,1,4.0,1.0,4280.0
387,1985,22.0,2,3.0,3.0,6680.0
388,1985,74.0,2,5.0,2.0,3990.0
389,1985,34.0,2,4.0,3.0,3960.0
391,1985,70.0,1,5.0,5.0,7860.0
392,1985,28.0,2,4.0,2.0,7370.0
393,1985,28.0,2,4.0,0.0,8370.0
395,1985,40.0,2,4.0,1.0,8190.0
396,1985,62.0,1,4.0,1.0,6370.0
397,1985,68.0,2,4.0,3.0,7880.0
398,1985,37.0,1,3.0,3.0,9480.0
399,1985,27.0,1,4.0,5.0,770.0
400,1985,36.0,1,2.0,2.0,8190.0
401,1985,23.0,2,4.0,4.0,8270.0
402,1985,60.0,2,4.0,0.0,7970.0
403,1985,32.0,2,4.0,1.0,5170.0
404,1985,85.0,1,6.0,1.0,2570.0
405,1985,70.0,2,5.0,5.0,1470.0
406,1985,72.0,1,4.0,5.0,770.0
407,1985,58.0,1,4.0,3.0,6870.0
408,1985,29.0,1,2.0,3.0,3980.0
409,1985,63.0,1,2.0,4.0,6080.0
411,1985,31.0,1,3.0,2.0,6570.0
413,1985,64.0,1,4.0,2.0,770.0
414,1985,48.0,2,4.0,3.0,5170.0
415,1985,38.0,1,5.0,4.0,7990.0
416,1985,44.0,1,5.0,5.0,3980.0
417,1985,39.0,1,6.0,4.0,7860.0
418,1985,25.0,1,4.0,2.0,3890.0
419,1985,42.0,1,4.0,4.0,2870.0
420,1985,27.0,2,3.0,2.0,8980.0
421,1985,30.0,1,4.0,2.0,7860.0
422,1985,46.0,2,4.0,3.0,6870.0
423,1985,78.0,1,4.0,1.0,2880.0
424,1985,63.0,2,3.0,5.0,5380.0
425,1985,24.0,2,3.0,5.0,6990.0
426,1985,64.0,1,4.0,0.0,4970.0
427,1985,66.0,1,3.0,6.0,4070.0
428,1985,35.0,1,5.0,5.0,3980.0
429,1985,37.0,2,4.0,5.0,7870.0
430,1985,46.0,2,4.0,4.0,7670.0
433,1985,31.0,2,5.0,0.0,6680.0
434,1985,20.0,2,4.0,1.0,7780.0
435,1985,42.0,1,4.0,2.0,8180.0
437,1985,21.0,1,2.0,4.0,1990.0
438,1985,45.0,1,6.0,5.0,6990.0
439,1985,36.0,1,7.0,7.0,3490.0
441,1985,31.0,1,5.0,4.0,570.0
442,1985,39.0,2,2.0,4.0,8680.0
443,1985,20.0,2,2.0,1.0,7870.0
444,1985,34.0,2,6.0,2.0,5480.0
445,1985,36.0,1,6.0,3.0,9370.0
446,1985,67.0,2,6.0,3.0,4390.0
447,1985,22.0,2,4.0,6.0,5170.0
448,1985,21.0,2,5.0,6.0,9370.0
449,1985,48.0,1,3.0,5.0,6990.0
450,1985,19.0,1,2.0,1.0,5390.0
451,1985,63.0,1,3.0,1.0,6080.0
452,1985,27.0,2,4.0,1.0,6990.0
453,1985,42.0,2,2.0,2.0,1280.0
454,1985,44.0,2,2.0,4.0,8190.0
455,1985,30.0,2,3.0,2.0,8590.0
456,1985,33.0,1,4.0,6.0,7780.0
457,1985,75.0,1,4.0,6.0,8690.0
458,1985,65.0,2,4.0,5.0,3990.0
459,1985,22.0,1,4.0,1.0,7770.0
460,1985,26.0,2,4.0,1.0,4970.0
461,1985,49.0,1,5.0,3.0,7970.0
462,1985,63.0,1,6.0,6.0,6990.0
463,1985,55.0,1,4.0,3.0,7860.0
464,1985,48.0,1,4.0,0.0,770.0
465,1985,32.0,1,4.0,4.0,8770.0
466,1985,38.0,2,3.0,2.0,7070.0
467,1985,25.0,2,3.0,2.0,3580.0
468,1985,50.0,2,4.0,3.0,3980.0
469,1985,51.0,1,5.0,3.0,1180.0
470,1985,38.0,1,4.0,4.0,4170.0
471,1985,75.0,2,7.0,0.0,1770.0
472,1985,32.0,2,3.0,4.0,6990.0
473,1985,26.0,2,4.0,4.0,5090.0
474,1985,43.0,1,3.0,0.0,3390.0
475,1985,41.0,2,4.0,5.0,3360.0
476,1985,64.0,1,6.0,3.0,6670.0
477,1985,23.0,1,6.0,5.0,3870.0
478,1985,29.0,2,2.0,4.0,6990.0
479,1985,26.0,2,2.0,5.0,3370.0
480,1985,31.0,2,5.0,4.0,7970.0
481,1985,37.0,1,2.0,7.0,3680.0
482,1985,32.0,2,4.0,1.0,7970.0
483,1985,83.0,2,4.0,1.0,5380.0
484,1985,35.0,1,6.0,4.0,3890.0
485,1985,27.0,1,4.0,4.0,770.0
486,1985,37.0,1,2.0,1.0,3360.0
487,1985,42.0,2,4.0,5.0,5070.0
488,1985,46.0,1,6.0,4.0,690.0
489,1985,32.0,1,3.0,0.0,2890.0
491,1985,72.0,1,4.0,0.0,3170.0
492,1985,80.0,2,6.0,2.0,1680.0
493,1985,23.0,1,4.0,0.0,7690.0
496,1985,26.0,1,5.0,2.0,5380.0
497,1985,43.0,2,2.0,0.0,4590.0
498,1985,43.0,2,4.0,1.0,2290.0
500,1985,63.0,1,4.0,0.0,8970.0
501,1985,28.0,1,4.0,5.0,7770.0
502,1985,67.0,2,4.0,6.0,5170.0
503,1985,45.0,1,7.0,4.0,4770.0
504,1985,50.0,1,5.0,0.0,8680.0
505,1985,62.0,2,7.0,6.0,9160.0
507,1985,36.0,1,3.0,2.0,3490.0
508,1985,42.0,1,5.0,5.0,4590.0
509,1985,85.0,2,4.0,1.0,6080.0
510,1985,62.0,1,4.0,2.0,9470.0
512,1985,63.0,1,5.0,5.0,9470.0
513,1985,37.0,1,4.0,4.0,1990.0
514,1985,67.0,2,4.0,6.0,5380.0
515,1985,82.0,2,5.0,2.0,1680.0
516,1985,58.0,1,4.0,5.0,3490.0
517,1985,25.0,1,5.0,6.0,3990.0
519,1985,37.0,2,4.0,4.0,8680.0
520,1985,32.0,1,5.0,5.0,2990.0
521,1985,56.0,1,4.0,5.0,770.0
522,1985,49.0,2,5.0,1.0,8680.0
523,1985,60.0,1,4.0,5.0,3180.0
524,1985,58.0,1,3.0,1.0,7290.0
525,1985,61.0,1,3.0,5.0,3390.0
526,1985,73.0,2,4.0,1.0,8190.0
527,1985,56.0,1,4.0,1.0,6480.0
528,1985,35.0,2,4.0,2.0,9470.0
529,1985,23.0,1,4.0,2.0,8680.0
530,1985,51.0,1,2.0,1.0,7470.0
531,1985,33.0,1,5.0,0.0,3570.0
532,1985,59.0,2,6.0,6.0,7380.0
533,1985,27.0,2,5.0,5.0,5270.0
534,1985,62.0,1,4.0,5.0,3090.0
535,1985,34.0,1,6.0,5.0,8680.0
536,1985,29.0,1,4.0,1.0,9590.0
537,1985,43.0,2,5.0,5.0,4190.0
538,1985,54.0,1,4.0,5.0,3570.0
539,1985,45.0,2,4.0,5.0,7860.0
540,1985,35.0,1,7.0,5.0,9160.0
541,1985,21.0,2,4.0,3.0,8680.0
542,1985,23.0,2,4.0,1.0,6990.0
543,1985,55.0,1,4.0,1.0,9590.0
544,1985,35.0,1,5.0,5.0,3570.0
545,1985,46.0,1,3.0,1.0,8680.0
546,1985,30.0,1,3.0,0.0,8680.0
547,1985,48.0,1,2.0,3.0,9470.0
548,1985,30.0,1,4.0,0.0,6680.0
549,1985,34.0,1,1.0,2.0,7070.0
550,1985,28.0,1,4.0,3.0,770.0
551,1985,29.0,2,2.0,3.0,5380.0
552,1985,34.0,1,6.0,5.0,6690.0
553,1985,41.0,1,4.0,2.0,9470.0
554,1985,20.0,2,4.0,5.0,8680.0
555,1985,44.0,2,4.0,4.0,6990.0
557,1985,47.0,2,4.0,4.0,6970.0
558,1985,19.0,1,4.0,6.0,8580.0
559,1985,31.0,1,4.0,2.0,7380.0
560,1985,77.0,1,2.0,5.0,4670.0
562,1985,32.0,2,6.0,1.0,4980.0
564,1985,49.0,2,5.0,1.0,6990.0
565,1985,61.0,1,5.0,2.0,4560.0
566,1985,70.0,2,2.0,0.0,8190.0
567,1985,39.0,2,2.0,3.0,8660.0
569,1985,83.0,2,5.0,6.0,5380.0
570,1985,62.0,1,5.0,4.0,6480.0
571,1985,38.0,1,6.0,6.0,7980.0
572,1985,34.0,2,7.0,6.0,6380.0
573,1985,50.0,1,4.0,3.0,770.0
574,1985,50.0,2,5.0,1.0,1990.0
575,1985,27.0,2,4.0,0.0,9090.0
576,1985,41.0,1,4.0,2.0,9370.0
577,1985,71.0,2,4.0,5.0,8270.0
578,1985,70.0,2,4.0,6.0,6480.0
579,1985,28.0,2,4.0,2.0,7480.0
580,1985,33.0,2,4.0,0.0,4480.0
581,1985,37.0,1,7.0,0.0,2980.0
582,1985,29.0,2,4.0,2.0,9480.0
583,1985,47.0,1,7.0,1.0,770.0
584,1985,27.0,2,6.0,3.0,8980.0
585,1985,26.0,2,4.0,3.0,7970.0
586,1985,26.0,1,6.0,4.0,8690.0
587,1985,30.0,1,4.0,1.0,7290.0
588,1985,24.0,1,5.0,6.0,8190.0
589,1985,44.0,1,4.0,1.0,7790.0
590,1985,53.0,2,5.0,6.0,7860.0
591,1985,22.0,1,5.0,5.0,4470.0
592,1985,42.0,1,5.0,3.0,8770.0
593,1985,46.0,2,4.0,3.0,4590.0
594,1985,20.0,1,4.0,3.0,8680.0
595,1985,27.0,2,4.0,5.0,2670.0
596,1985,36.0,1,4.0,5.0,4590.0
597,1985,36.0,2,5.0,5.0,8190.0
598,1985,19.0,1,4.0,5.0,2890.0
599,1985,34.0,2,6.0,6.0,5170.0
600,1985,20.0,2,3.0,5.0,8680.0
601,1985,20.0,2,2.0,2.0,8660.0
602,1985,59.0,1,5.0,0.0,2770.0
603,1985,29.0,1,4.0,5.0,770.0
604,1985,31.0,1,3.0,6.0,3890.0
607,1985,68.0,2,4.0,3.0,8190.0
608,1985,85.0,2,6.0,0.0,5380.0
610,1985,57.0,2,7.0,5.0,9290.0
611,1985,30.0,2,6.0,6.0,7860.0
613,1985,36.0,1,1.0,7.0,7870.0
614,1985,30.0,2,4.0,2.0,3490.0
615,1985,32.0,2,4.0,2.0,8190.0
619,1985,22.0,1,4.0,1.0,4690.0
620,1985,63.0,2,4.0,5.0,8190.0
621,1985,72.0,2,7.0,6.0,8190.0
623,1985,29.0,1,3.0,4.0,3190.0
624,1985,64.0,2,4.0,1.0,8660.0
626,1985,76.0,1,4.0,2.0,6390.0
627,1985,29.0,2,6.0,3.0,9160.0
628,1985,25.0,1,2.0,1.0,9090.0
631,1985,55.0,2,4.0,1.0,770.0
633,1985,32.0,1,6.0,1.0,770.0
634,1985,33.0,2,6.0,0.0,5380.0
636,1985,84.0,2,4.0,1.0,9070.0
637,1985,65.0,1,6.0,0.0,770.0
639,1985,51.0,1,2.0,5.0,2670.0
640,1985,68.0,2,6.0,6.0,6680.0
641,1985,40.0,2,1.0,1.0,6680.0
642,1985,46.0,2,2.0,1.0,9170.0
644,1985,26.0,2,4.0,0.0,9090.0
645,1985,51.0,1,2.0,0.0,2670.0
646,1985,55.0,2,4.0,1.0,2670.0
648,1985,34.0,2,4.0,0.0,7860.0
649,1985,58.0,1,6.0,1.0,770.0
650,1985,76.0,2,7.0,0.0,9290.0
651,1985,51.0,2,4.0,2.0,1090.0
653,1985,71.0,1,4.0,0.0,3570.0
654,1985,32.0,1,4.0,0.0,7860.0
655,1985,56.0,1,4.0,1.0,7860.0
656,1985,65.0,1,5.0,1.0,3570.0
657,1985,32.0,1,3.0,4.0,9470.0
658,1985,40.0,2,6.0,5.0,8370.0
659,1985,43.0,1,5.0,1.0,6680.0
660,1985,34.0,1,4.0,6.0,7980.0
661,1985,66.0,2,5.0,0.0,3580.0
662,1985,73.0,1,2.0,3.0,770.0
663,1985,29.0,2,3.0,3.0,6870.0
667,1985,69.0,1,3.0,0.0,770.0
668,1985,32.0,2,4.0,1.0,6990.0
669,1985,39.0,2,4.0,4.0,5580.0
670,1985,41.0,2,2.0,1.0,9590.0
671,1985,27.0,1,2.0,0.0,9470.0
673,1985,30.0,2,7.0,6.0,7860.0
675,1985,48.0,1,4.0,1.0,7070.0
676,1985,32.0,1,3.0,0.0,6990.0
677,1985,66.0,1,5.0,6.0,1170.0
678,1985,49.0,1,2.0,1.0,770.0
679,1985,21.0,1,4.0,1.0,8190.0
681,1985,30.0,2,4.0,0.0,5380.0
683,1985,20.0,2,4.0,4.0,7870.0
685,1985,27.0,2,6.0,6.0,7970.0
687,1985,27.0,2,6.0,5.0,8980.0
688,1985,26.0,1,3.0,4.0,3080.0
693,1985,24.0,1,5.0,1.0,2690.0
697,1985,59.0,1,6.0,2.0,6680.0
698,1985,63.0,2,5.0,0.0,7860.0
699,1985,62.0,1,2.0,0.0,3680.0
700,1985,47.0,2,6.0,0.0,8370.0
701,1985,42.0,1,6.0,4.0,7870.0
703,1985,51.0,2,4.0,3.0,3570.0
704,1985,51.0,1,5.0,0.0,8190.0
705,1985,20.0,2,2.0,4.0,770.0
707,1985,27.0,1,6.0,6.0,770.0
709,1985,28.0,1,4.0,3.0,9590.0
711,1985,25.0,2,4.0,5.0,6990.0
713,1985,62.0,2,4.0,1.0,8190.0
714,1985,31.0,2,2.0,1.0,8590.0
715,1985,75.0,2,5.0,1.0,6990.0
716,1985,21.0,1,3.0,2.0,6680.0
717,1985,30.0,2,4.0,1.0,6680.0
720,1985,27.0,2,4.0,4.0,8790.0
721,1985,29.0,1,6.0,6.0,8970.0
722,1985,22.0,1,6.0,6.0,770.0
723,1985,78.0,2,3.0,6.0,3680.0
725,1985,63.0,2,4.0,0.0,7860.0
727,1985,66.0,2,3.0,0.0,6770.0
728,1985,56.0,2,5.0,0.0,4970.0
730,1985,52.0,1,2.0,1.0,4470.0
731,1985,57.0,1,1.0,1.0,9590.0
732,1985,51.0,1,3.0,0.0,9590.0
736,1985,51.0,1,7.0,0.0,4470.0
738,1985,40.0,1,3.0,1.0,3570.0
739,1985,25.0,1,4.0,0.0,770.0
740,1985,46.0,2,2.0,0.0,7860.0
743,1985,51.0,1,5.0,0.0,6090.0
745,1985,29.0,2,3.0,1.0,8190.0
746,1985,29.0,1,4.0,6.0,7270.0
747,1985,61.0,2,6.0,6.0,5380.0
748,1985,74.0,2,6.0,6.0,7860.0
750,1985,54.0,1,6.0,1.0,6170.0
751,1985,28.0,2,3.0,6.0,2880.0
752,1985,58.0,1,3.0,0.0,770.0
753,1985,35.0,2,4.0,1.0,6990.0
754,1985,50.0,1,5.0,5.0,7290.0
755,1985,50.0,2,7.0,2.0,7860.0
756,1985,46.0,1,2.0,2.0,7290.0
757,1985,66.0,1,2.0,0.0,8560.0
758,1985,63.0,2,5.0,0.0,8190.0
